#FIBER POSITIONER NUMTARTET OBJTYPE TARGETID DESITARGET0 RA DEC XFOCAL_DESIGN YFOCAL_DESIGN
67 68 7 GAL 7881 256 0.132697 1.015721 157.493369 2.710244
68 69 7 STDSTAR 2393 256 0.815772 0.402831 134.606788 74.199508
69 70 2 OTHER 23281 256 1.633617 0.003122 131.781965 67.499320
70 71 9 ELG 63 256 1.214930 0.694713 139.914896 60.253365
71 72 5 QSO 3451 256 1.651622 0.105569 152.270487 20.586140
72 73 9 QSO 5111 256 0.416153 0.934221 150.258289 45.255584
73 74 11 GAL 6540 256 1.755580 0.476139 158.109702 40.378445
74 75 3 QSO 6066 256 0.950479 0.009522 160.088811 10.255181
75 76 7 OTHER 4188 256 1.741599 0.108487 158.398849 32.508507
76 77 8 OTHER 1865 256 0.070001 0.761780 147.011673 80.924605
77 78 6 OTHER 8031 256 1.219892 0.560752 137.306193 89.558168
78 79 7 STDSTAR 287 256 0.086764 0.783606 148.818950 67.270495
79 80 3 QSO 15046 256 1.375206 0.640444 163.713719 5.860761
80 81 4 QSO 4162 256 1.445796 0.675983 151.478658 63.785022
81 82 9 ELG 772 256 1.228706 0.123721 167.123276 20.196655
82 83 3 ELG 6741 256 1.796665 1.155717 160.909724 45.979908
83 84 10 STDSTAR 549 256 0.107981 0.561068 160.937449 41.507165
84 85 4 STDSTAR 1576 256 0.895769 0.891153 171.493740 10.784763
85 86 3 OTHER 8154 256 1.201725 0.376763 145.619035 81.472407
86 87 5 ELG 167 256 0.761976 0.927007 168.862994 33.203046
87 88 5 STDSTAR 9999 256 1.332774 1.163127 151.942208 77.942000
88 89 8 ELG 3687 256 0.872097 0.016077 139.028973 93.663633
89 90 1 LRG 21486 256 0.314068 0.571952 156.121202 73.874955
90 91 7 QSO 1228 256 1.686241 0.070128 172.297632 2.199659
91 92 9 QSO 4542 256 0.874705 0.680138 161.479234 60.839214
92 93 5 GAL 7953 256 0.152810 0.256311 172.456122 19.220725
93 94 10 GAL 7646 256 0.783461 0.479763 168.341502 52.104980
94 95 2 STDSTAR 10156 256 0.078051 1.180747 172.741314 44.699258
95 96 4 ELG 1917 256 1.727875 0.718272 181.615053 14.512307
96 97 4 GAL 5496 256 0.817968 0.607470 153.562402 83.854906
97 98 5 GAL 9228 256 0.510069 0.605567 153.952137 97.738590
98 99 3 LRG 10510 256 0.906782 0.851400 161.775376 77.414270
99 100 6 QSO 11966 256 0.914418 0.864164 183.349868 33.994843
100 101 3 STDSTAR 7298 256 0.982341 0.835257 165.469270 70.012986
101 102 5 QSO 9505 256 0.318576 0.214805 175.054535 56.876701
102 103 6 ELG 11004 256 0.840849 0.783841 183.738494 6.648050
103 104 12 QSO 2319 256 1.574444 0.651679 189.653732 22.537518
104 105 3 OTHER 9562 256 1.344834 0.946288 176.571391 48.452157
105 106 6 LRG 5599 256 1.289061 0.400953 180.478953 38.219057
106 107 4 ELG 949 256 1.742432 0.258417 160.148135 92.602716
107 108 7 QSO 4441 256 0.093858 0.129131 171.288785 91.442725
108 109 1 GAL 10841 256 1.163675 1.144337 183.749374 12.242580
109 110 6 LRG 7393 256 0.327765 0.724465 157.280776 100.358251
110 111 7 OTHER 1733 256 1.348583 0.201426 176.411034 75.096213
111 112 7 LRG 1312 256 0.144021 0.036649 180.421974 65.744619
112 113 1 OTHER 12691 256 0.806210 0.669648 191.691303 32.478037
113 114 6 QSO 3351 256 0.850124 0.356118 184.075637 59.705502
114 115 8 LRG 4455 256 1.615460 0.089294 195.421269 10.424346
115 116 4 ELG 2134 256 1.133019 0.425390 195.047789 21.208536
116 117 2 QSO 1879 256 1.390229 1.069694 194.621542 50.397485
117 118 6 QSO 2634 256 1.024053 0.235468 175.196454 98.276156
118 119 4 LRG 7295 256 1.273784 0.714505 167.206839 102.482188
119 120 6 GAL 10167 256 0.809706 0.210057 195.986090 47.178794
120 121 8 GAL 9503 256 1.673267 1.062537 175.338062 84.002730
121 122 3 LRG 14091 256 0.233374 1.179649 180.909110 79.502527
122 123 3 OTHER 3352 256 0.083383 0.589614 197.615315 14.702488
123 124 8 LRG 1704 256 0.963449 0.471248 191.447928 72.492194
124 125 5 ELG 5230 256 0.255427 0.233826 202.039117 33.028975
125 126 8 LRG 1338 256 0.407592 1.007961 199.709332 56.870221
126 127 8 OTHER 2262 256 0.959766 1.149671 202.327361 2.132577
127 128 12 ELG 6020 256 0.446389 0.805101 204.083796 46.590068
128 129 6 STDSTAR 274 256 1.450636 0.948724 203.589707 19.608820
129 130 9 OTHER 766 256 1.512345 1.122098 180.707411 103.812958
130 131 3 STDSTAR 11274 256 0.834520 0.391497 180.394880 93.181546
131 132 7 ELG 3424 256 1.164673 0.349474 176.454279 110.807167
132 133 7 LRG 4818 256 0.365555 0.895618 188.254919 84.243117
133 134 6 STDSTAR 1599 256 1.450442 0.693847 200.377394 43.176951
134 135 5 QSO 1513 256 0.098651 0.562336 199.380977 75.695900
135 136 7 LRG 630 256 1.362178 0.503938 214.661299 13.718288
136 137 4 LRG 9619 256 1.294495 0.006887 198.684313 67.585862
137 138 5 OTHER 5125 256 1.243650 0.470643 213.872200 33.632073
138 139 11 OTHER 659 256 0.690870 0.719753 200.575812 61.165335
139 140 2 QSO 14742 256 1.524689 0.993869 216.363231 6.236061
140 141 3 OTHER 7082 256 1.209737 0.488584 207.374714 50.236009
141 142 4 QSO 2444 256 0.393543 0.912645 210.061927 24.786309
142 143 12 LRG 5 256 0.290586 0.644198 189.953237 105.132790
143 144 6 OTHER 12719 256 1.148135 0.831439 188.319755 117.269575
144 145 6 STDSTAR 8017 256 1.296727 0.195331 197.993269 91.928773
145 146 7 ELG 773 256 0.381208 0.171638 182.619862 122.366992
146 147 4 OTHER 9805 256 1.034162 0.823598 201.150287 84.366746
147 148 7 STDSTAR 2559 256 0.132009 0.427113 202.113156 75.632608
148 149 4 LRG 7954 256 0.095216 1.143382 218.084464 44.560896
149 150 6 ELG 246 256 0.597024 0.622693 226.140236 12.087638
150 151 5 GAL 1913 256 0.563603 0.650506 214.997344 68.293561
151 152 6 ELG 5431 256 0.700268 0.847478 217.613259 28.164243
152 153 1 QSO 23402 256 0.785684 0.242860 215.376465 58.495107
153 154 5 GAL 4607 256 0.427422 0.525557 191.621445 110.883399
154 155 7 STDSTAR 2541 256 0.063211 0.493639 231.162393 6.401666
155 156 3 OTHER 4148 256 0.545013 0.733978 198.477075 100.673035
156 157 6 OTHER 5438 256 0.006558 1.102258 185.924437 124.247938
157 158 6 LRG 7402 256 1.200039 1.180929 217.001338 53.505939
158 159 0 SKY -1 256 -1.000000 100.000000 205.258254 95.781025
159 160 4 ELG 6823 256 0.778626 0.701944 227.053609 21.098845
160 161 4 QSO 241 256 1.089252 0.812855 216.180204 88.077889
161 162 6 QSO 5179 256 0.237195 0.824765 209.995698 77.706172
162 163 11 QSO 6926 256 0.550797 0.143882 223.447110 44.019096
163 164 11 ELG 869 256 1.012408 0.223717 216.023793 66.258728
164 165 4 GAL 13732 256 0.210122 0.489850 235.985117 13.649015
165 166 5 LRG 2965 256 0.274615 1.071522 230.478090 35.612883
166 167 6 QSO 5014 256 0.119411 0.349258 231.205867 60.799256
167 168 5 GAL 51 256 1.636461 0.395969 201.257572 113.055444
168 169 5 STDSTAR 4893 256 1.688079 0.286501 204.948398 121.251272
169 170 7 QSO 249 256 1.708877 0.412863 208.154562 102.974154
170 171 7 LRG 7595 256 0.069471 0.611257 195.985071 130.870080
171 172 4 GAL 6896 256 1.369321 0.936334 212.510867 91.398722
172 173 5 LRG 6450 256 0.606589 0.843568 236.484594 0.744615
173 174 10 ELG 1384 256 0.317951 1.052872 228.026170 47.273251
174 175 6 LRG 9236 256 1.645452 0.004714 216.888072 88.409318
175 176 5 GAL 3738 256 0.944405 0.084909 235.968710 24.643126
176 177 6 ELG 7903 256 1.075083 0.851417 224.167698 72.694147
177 178 4 OTHER 1189 256 0.361492 0.680318 240.586014 39.383720
178 179 4 OTHER 1017 256 0.337627 0.123553 230.346825 70.271587
179 180 10 LRG 1783 256 0.436027 0.049840 242.876365 14.084883
180 181 6 LRG 2245 256 0.932833 0.248264 246.761473 32.894532
181 182 4 QSO 4572 256 1.438055 1.054135 240.477895 59.345106
182 183 11 ELG 2712 256 1.502735 0.784826 209.156656 126.107626
183 184 5 LRG 5287 256 1.799455 0.263837 212.266658 109.389686
184 185 2 STDSTAR 1322 256 1.040653 0.033443 210.239977 134.130960
185 186 4 GAL 191 256 1.745008 1.116870 220.335760 108.009723
186 187 6 STDSTAR 9237 256 1.628008 1.015097 227.322596 90.692523
187 188 5 STDSTAR 2505 256 0.717391 0.814543 241.963714 7.550447
188 189 6 LRG 2210 256 0.554289 0.340258 247.199005 52.135978
189 190 10 OTHER 1149 256 1.067766 0.331254 231.752110 91.776141
190 191 11 QSO 1647 256 0.445173 0.997488 250.740099 22.449318
191 192 3 LRG 20418 256 0.332374 0.607340 236.328643 80.345326
192 193 2 GAL 18891 256 1.781186 0.438951 250.881637 44.617171
193 194 4 STDSTAR 12895 256 0.010263 0.844653 247.383491 68.351218
194 195 2 STDSTAR 9096 256 0.047448 0.059707 254.569464 16.677779
195 196 5 ELG 46 256 0.041645 0.513618 222.697198 128.622996
196 197 3 ELG 5113 256 0.856876 0.357459 220.570040 135.588028
197 198 8 OTHER 663 256 0.819092 0.871955 221.924589 110.344055
198 199 6 LRG 2778 256 0.685256 0.083531 207.798845 140.221112
199 200 11 GAL 3786 256 0.550378 0.350451 246.214916 54.849931
200 201 8 ELG 995 256 0.144059 0.013093 232.324945 105.094196
201 202 9 OTHER 3463 256 0.510095 0.222218 255.412370 35.979393
202 203 6 STDSTAR 4691 256 1.502801 0.109305 237.619706 90.908474
203 204 10 LRG 8798 256 0.749734 0.971128 239.638002 88.895234
204 205 7 GAL 5529 256 0.416099 0.476357 252.274719 47.001775
205 206 6 QSO 833 256 1.762032 0.840327 257.344933 5.245899
206 207 6 OTHER 644 256 0.059859 1.097409 259.968736 22.738057
207 208 2 ELG 11393 256 0.817655 0.380076 246.303196 82.602176
208 209 8 LRG 3555 256 1.603441 0.924341 258.998840 40.117023
209 210 4 LRG 6267 256 0.750569 0.217662 249.872952 64.646893
210 211 6 LRG 3143 256 0.697812 0.802991 227.800912 134.985744
211 212 4 LRG 3144 256 0.491628 0.928902 233.400501 118.067720
212 213 5 ELG 3881 256 0.922904 0.398016 216.918012 145.182223
213 214 4 OTHER 8317 256 1.386874 0.363350 235.451812 116.877966
214 215 5 LRG 1299 256 0.250252 1.038239 262.872810 10.330800
215 216 5 ELG 466 256 0.762609 1.082537 212.984538 148.225333
216 217 3 GAL 13109 256 0.062424 0.764406 240.281998 107.677757
217 218 6 STDSTAR 12185 256 0.457421 0.558607 260.473975 54.578860
218 219 4 STDSTAR 2837 256 0.332290 0.363564 262.721389 26.455361
219 220 9 ELG 376 256 0.882488 0.219464 246.706163 92.833771
220 221 3 QSO 7590 256 0.471799 0.235995 255.630921 87.131700
221 222 6 QSO 878 256 0.098566 1.139634 262.667240 46.164857
222 223 8 STDSTAR 2391 256 0.114963 0.315089 264.963223 8.755685
223 224 10 GAL 192 256 0.189719 0.426490 265.472421 26.833500
224 225 10 OTHER 58 256 1.710180 0.766940 258.992572 72.491189
225 226 5 LRG 8793 256 0.650554 0.001780 261.708535 41.425834
226 227 3 QSO 14561 256 0.785869 0.168389 241.276693 127.973062
227 228 2 LRG 13611 256 1.177332 0.073677 235.890321 142.706678
228 229 4 LRG 4898 256 0.578131 0.459615 241.779612 126.489312
229 230 4 STDSTAR 16434 256 1.775212 0.375438 263.479845 62.743998
230 231 5 STDSTAR 320 256 0.693970 0.356353 231.185458 152.660921
231 232 7 LRG 2500 256 1.068089 0.557083 244.610492 116.179273
232 233 6 GAL 12 256 0.352573 0.719645 250.384453 106.909135
233 234 3 QSO 10006 256 0.680872 0.580461 276.633452 18.762417
234 235 7 OTHER 554 256 1.052485 0.858067 264.694777 56.878520
235 236 2 STDSTAR 475 256 1.215365 0.814849 262.235818 94.128213
236 237 4 STDSTAR 9535 256 0.549754 0.939751 272.065479 34.683718
237 238 6 QSO 121 256 1.315546 0.682289 258.872407 83.416941
238 239 5 STDSTAR 1181 256 0.511212 0.585325 273.647662 44.539728
239 240 5 STDSTAR 208 256 1.168476 0.106285 278.591954 8.114341
240 241 7 ELG 279 256 0.546607 0.965876 271.540831 78.147067
241 242 9 GAL 2901 256 1.258313 0.945319 282.481780 23.609311
242 243 2 LRG 23691 256 1.083223 1.108808 237.797681 136.714399
243 244 7 ELG 2850 256 0.089664 0.206119 248.476616 130.633128
244 245 6 STDSTAR 1179 256 1.236368 0.629241 239.819157 149.574522
245 246 4 OTHER 12141 256 0.319725 0.139070 252.031090 117.058487
246 247 6 QSO 4053 256 1.353474 0.444185 229.116396 154.455257
247 248 10 QSO 4609 256 0.296055 0.496206 280.333980 41.016721
248 249 4 QSO 13756 256 0.957497 0.523127 271.601564 66.428086
249 250 3 STDSTAR 5070 256 0.068886 0.249432 260.288356 118.463684
250 251 7 STDSTAR 1739 256 0.172929 0.654680 264.900461 109.141982
251 252 5 QSO 3655 256 1.071644 0.238010 279.908249 10.242628
252 253 5 LRG 3964 256 0.815604 0.659355 266.369038 98.914040
253 254 4 LRG 8822 256 0.044183 0.568041 281.031162 55.071408
254 255 6 LRG 4554 256 0.146366 0.742186 288.538798 31.285761
255 256 7 LRG 9489 256 0.735907 0.474491 274.638016 85.256722
256 257 10 LRG 238 256 1.735236 1.138456 280.094900 52.144730
257 258 4 LRG 2707 256 0.118098 0.200836 288.428244 4.006663
258 259 6 GAL 2226 256 0.384120 0.559281 277.966302 73.020654
259 260 3 ELG 12397 256 0.948202 0.373774 251.295596 146.093951
260 261 7 GAL 882 256 0.157761 0.431336 248.176079 148.508355
261 262 5 STDSTAR 5078 256 0.356339 1.047827 261.380169 134.761999
262 263 3 ELG 1877 256 1.107173 0.872439 292.142541 26.589375
263 264 11 STDSTAR 160 256 0.800104 0.989347 241.659590 163.030561
264 265 5 STDSTAR 36 256 0.484066 0.526211 261.098380 120.826379
265 266 7 OTHER 15301 256 1.591315 0.847820 266.670101 108.473158
266 267 5 STDSTAR 197 256 0.837350 0.705400 286.490872 40.876027
267 268 8 STDSTAR 553 256 0.191788 1.045514 287.409588 64.789134
268 269 9 GAL 150 256 1.123181 0.301752 276.879793 100.522412
269 270 7 LRG 4090 256 0.218963 0.284482 292.046383 14.845537
270 271 10 ELG 7739 256 0.258220 0.277805 275.755734 98.858409
271 272 6 OTHER 768 256 0.388408 0.047828 288.463962 58.847286
272 273 6 QSO 1161 256 1.369062 0.560069 294.867426 35.580664
273 274 7 LRG 5367 256 0.354721 0.209534 281.994199 83.348279
274 275 6 ELG 1955 256 0.147323 0.345151 263.051215 150.383188
275 276 5 QSO 3734 256 1.519325 0.801486 294.511999 46.082865
276 277 7 OTHER 2664 256 0.711590 0.493639 260.721316 145.555318
277 278 6 OTHER 1677 256 0.693042 1.198758 251.697200 153.684790
278 279 4 GAL 8831 256 0.155600 0.265959 268.100583 133.646250
279 280 5 LRG 2852 256 1.063157 0.053331 289.841956 73.617970
280 281 4 QSO 5702 256 1.139030 0.902763 246.241138 166.519637
281 282 8 QSO 1003 256 0.086344 0.544589 296.752753 5.444114
282 283 6 OTHER 55 256 0.321704 0.865506 267.587981 122.050643
283 284 9 ELG 3659 256 1.562447 0.183924 304.629592 21.256604
284 285 6 OTHER 3242 256 0.285502 0.871348 281.140545 113.404673
285 286 1 STDSTAR 24574 256 0.192963 0.496223 291.818780 67.922033
286 287 5 LRG 1113 256 0.902868 0.737179 300.063806 43.754066
287 288 5 OTHER 6631 256 0.217703 0.980796 288.890976 106.442648
288 289 8 OTHER 2617 256 1.196690 0.369886 291.794697 96.075569
289 290 3 GAL 9473 256 0.435349 0.101012 300.625487 15.896479
290 291 2 LRG 17304 256 0.735695 0.211713 299.394037 65.079182
291 292 5 ELG 4041 256 1.050074 0.210097 304.194864 37.809296
292 293 4 ELG 1665 256 0.517181 0.574244 293.359709 89.948725
293 294 7 LRG 6953 256 1.182555 0.606178 272.949233 148.860757
294 295 7 OTHER 2186 256 0.767881 0.337666 262.827131 162.933896
295 296 10 ELG 3280 256 0.165238 0.725925 279.210007 140.229301
296 297 3 GAL 3030 256 0.177570 0.041660 253.513972 171.492801
297 298 5 LRG 9782 256 1.356300 0.654666 277.305783 129.668202
298 299 6 OTHER 295 256 0.527086 0.658789 248.184494 176.411968
299 300 4 ELG 4962 256 1.272877 0.582483 302.529610 51.256981
300 301 4 STDSTAR 4796 256 0.743807 0.675451 297.378524 75.465955
301 302 8 ELG 9788 256 1.088444 1.179741 278.627838 120.786933
302 303 7 STDSTAR 3803 256 1.100674 0.925624 312.459244 8.425329
303 304 4 ELG 10468 256 1.120576 0.081726 311.143541 18.379071
304 305 2 QSO 258 256 0.478900 0.948413 289.662910 112.096834
305 306 7 LRG 673 256 0.162672 0.919648 303.302034 71.075113
306 307 6 ELG 5198 256 1.238727 0.331947 297.004348 101.650604
307 308 6 GAL 8806 256 1.438529 0.625754 309.978562 41.767806
308 309 5 ELG 578 256 0.079479 0.200363 295.132996 95.949125
309 310 11 OTHER 91 256 0.868595 1.047140 314.621706 18.817030
310 311 8 QSO 1895 256 1.091445 0.478218 312.085705 59.219888
311 312 4 ELG 631 256 0.314023 0.847978 274.368573 159.097753
312 313 5 QSO 9169 256 0.820081 1.138259 278.766162 146.772210
313 314 8 GAL 1524 256 0.868153 0.588872 263.649721 169.692977
314 315 2 QSO 9867 256 0.187918 0.810390 318.503334 28.677462
315 316 9 QSO 1205 256 1.657273 0.222785 307.730195 86.001501
316 317 4 GAL 5411 256 0.094689 0.537984 283.138798 135.770757
317 318 11 OTHER 1122 256 1.428625 0.706625 262.186731 179.520253
318 319 6 QSO 1663 256 0.690069 0.109630 293.111647 128.219361
319 320 8 ELG 13798 256 1.482351 0.340502 296.180568 124.070512
320 321 2 QSO 8279 256 0.793526 0.015886 317.500542 55.542649
321 322 7 LRG 4076 256 1.067325 1.003092 305.745472 74.488554
322 323 8 ELG 2659 256 1.384549 1.121013 318.518243 0.639744
323 324 3 OTHER 3361 256 0.328748 0.728311 303.509885 116.907540
324 325 10 GAL 2799 256 0.774756 0.400044 323.882627 27.278424
325 326 4 QSO 4980 256 1.157727 0.449157 309.603577 105.308544
326 327 7 QSO 2859 256 0.096901 0.600767 318.844816 68.789263
327 328 4 GAL 6216 256 0.544726 0.041613 322.799130 36.193081
328 329 8 GAL 1209 256 0.345264 0.293941 309.086211 91.574953
329 330 9 OTHER 9759 256 0.733729 0.911881 283.982149 163.149555
330 331 7 OTHER 5005 256 0.592117 0.173241 279.925776 165.883452
331 332 9 GAL 2299 256 0.660361 0.944405 325.437712 56.696123
332 333 9 ELG 190 256 1.062525 0.420118 284.855796 148.841274
333 334 4 STDSTAR 4305 256 0.882513 0.475192 325.825098 11.439835
334 335 8 STDSTAR 8368 256 0.780030 0.608825 274.067908 171.157170
335 336 1 QSO 19261 256 1.708130 1.100629 298.054515 144.102843
336 337 3 STDSTAR 5271 256 0.382970 0.065603 265.461870 189.831711
337 338 8 LRG 3646 256 0.501566 0.235115 314.681674 90.455593
338 339 7 QSO 4067 256 0.133697 0.362375 322.899483 35.738604
339 340 1 QSO 16728 256 0.254589 0.717108 296.108359 134.050038
340 341 8 QSO 808 256 0.095278 0.868750 310.125878 123.308387
341 342 5 OTHER 373 256 0.433776 0.115557 328.710121 49.530282
342 343 3 LRG 5003 256 0.216705 0.679028 318.513866 80.623821
343 344 3 LRG 3791 256 0.615084 0.129489 310.251240 109.125333
344 345 7 STDSTAR 4538 256 0.160905 1.174735 326.770563 1.756755
345 346 5 QSO 11624 256 0.840048 0.769844 329.997366 18.916970
346 347 4 STDSTAR 1845 256 0.447928 0.318517 317.648380 104.658018
347 348 4 OTHER 1065 256 1.474637 1.159657 327.428558 71.608706
348 349 13 QSO 2275 256 1.501576 0.323344 329.713089 37.157198
349 350 6 ELG 8704 256 1.661407 0.822600 320.663098 92.021828
350 351 5 GAL 4565 256 1.061077 0.336708 292.676218 171.770856
351 352 7 OTHER 1978 256 0.633072 0.531699 299.906752 158.035387
352 353 5 OTHER 1586 256 1.475270 0.911156 281.663425 179.397633
353 354 7 STDSTAR 2381 256 0.012055 0.782575 295.694461 153.915441
354 355 7 STDSTAR 777 256 1.306579 0.319056 279.760686 182.614503
355 356 8 OTHER 7411 256 1.797110 0.283342 308.317994 145.115771
356 357 9 QSO 11938 256 1.032476 1.050318 328.964522 61.008973
357 358 4 STDSTAR 11263 256 1.347500 0.756554 338.371395 16.096163
358 359 10 OTHER 3799 256 1.336330 0.903705 321.689780 86.564307
359 360 8 GAL 623 256 1.505699 0.933514 312.807881 127.088024
360 361 6 GAL 23 256 0.680063 0.723712 335.516832 34.454253
361 362 10 ELG 2758 256 1.005000 0.233106 310.803690 119.845718
362 363 5 QSO 2259 256 0.891972 0.369641 338.685460 46.854065
363 364 3 ELG 6783 256 0.415824 0.732495 335.724244 74.331089
364 365 3 OTHER 18493 256 0.566247 0.264057 323.099327 117.919046
365 366 4 GAL 288 256 1.545555 0.758071 345.325594 1.981924
366 367 8 LRG 4957 256 0.887478 0.759358 341.076309 28.920888
367 368 4 STDSTAR 2791 256 1.148055 0.318547 325.943744 106.474017
368 369 5 OTHER 2255 256 0.055867 0.488491 335.682327 71.866047
369 370 2 QSO 10215 256 0.396406 0.831605 294.747075 167.014852
370 371 6 ELG 9136 256 0.237700 1.059554 297.483912 174.510893
371 372 9 STDSTAR 601 256 1.466305 0.601568 342.883013 46.908567
372 373 7 LRG 403 256 1.479513 0.238425 303.630544 158.440807
373 374 5 ELG 4516 256 1.049548 0.427746 292.436372 184.041196
374 375 11 QSO 4504 256 0.304039 0.485290 331.791018 98.646528
375 376 7 GAL 1220 256 1.784325 0.809925 307.702674 147.052771
376 377 5 QSO 10917 256 1.167142 0.967398 281.174476 195.880217
377 378 10 STDSTAR 5915 256 0.300505 0.146533 319.050552 143.584307
378 379 7 LRG 3308 256 1.077411 0.899213 337.452906 61.622540
379 380 14 LRG 178 256 0.927476 0.790681 315.991372 134.026894
380 381 6 STDSTAR 701 256 1.486616 0.080812 346.260332 16.322215
381 382 3 ELG 7712 256 0.800463 0.279418 335.340878 85.799922
382 383 7 OTHER 859 256 1.703722 0.232391 349.684871 33.207432
383 384 7 ELG 2347 256 0.453607 0.536190 325.556119 120.153471
384 385 1 ELG 14015 256 1.184968 0.199987 333.064622 113.635966
385 386 5 QSO 2261 256 0.940888 0.210865 337.294116 79.348830
386 387 9 OTHER 1118 256 0.158123 0.933305 345.109843 45.040987
387 388 5 STDSTAR 3937 256 1.370720 0.505422 352.411111 10.956589
388 389 9 GAL 929 256 0.359801 0.291656 335.303041 108.533546
389 390 3 LRG 3220 256 0.924970 1.192932 353.321748 22.156048
